"","geneID","EE_0-SRS004859","EE_30-SRS269390","EE_60-SRS269389","EE-210-SRS174229","EE-240-SRS001790","EE-300-SRS150938","EE-330-SRS001791","EE-360-SRS004864","EE-390-SRS003000","EE-420-SRS174140","EE-450-SRS001789","EE-480-SRS178501","EE-510-SRS266278","EE-540-SRS266272","EE-570-SRS266261","EE-600-SRS266262","EE-630-SRS266263","EE-660-SRS266264","EE-690-SRS266273","EE-720-SRS266279","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"576","WBGene00007674",0,0,0,0.0634131292445182,0.138981630172523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C18D4.4","C18D4.4","SRCR domain-containing protein","Vitelline membrane outer layer protein I (VOMI), Vitelline membrane outer layer protein I (VOMI) superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"577","WBGene00007682",0,0,0,0,0.208472445258784,0,0,0.0526827533102681,0,0,0,0,0,0,0,0,0.0690648610901902,0,0,0.0802792658766197,"C18D11.6","C18D11.6","Glycine rich superfamily member","",NA,NA,NA,NA,"CRE25745 | WBGene00083975",55.914,NA,NA
"578","WBGene00007699",0,0.103070065587606,0.155872876939974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345324305450951,0,0,0,"C24H11.1","C24H11.1","Serine/threonine-protein phosphatase","Calcineurin-like phosphoesterase domain, ApaH type, Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase, Metallo-dependent phosphatase-like","CBG08269 | WBGene00030094",73.6979,"CBN31023 | WBGene00192988",37.2396,"CRE23915 | WBGene00062352",72.9167,"CJA07173 | WBGene00126377",24.7396
"579","WBGene00007700",0.0301612623163892,0.0515350327938028,0,0.0634131292445182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C24H11.2","C24H11.2","Serine/threonine-protein phosphatase","Calcineurin-like phosphoesterase domain, ApaH type, Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase, Metallo-dependent phosphatase-like","CBG08269 | WBGene00030094",73.9583,"CBN31023 | WBGene00192988",37.5,"CRE23915 | WBGene00062352",73.1771,"CJA07173 | WBGene00126377",24.7396
"580","WBGene00007714",0,0,0,0,0.208472445258784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C25D7.1","C25D7.1","Major sperm protein","Major sperm protein (MSP) domain, PapD-like superfamily, Immunoglobulin-like fold","CBG18456 | WBGene00037875",79.3333,"CBN04207 | WBGene00142932",76.6667,"CRE10399 | WBGene00064988",78.6667,"CJA04236 | WBGene00123439",70.6667
"581","WBGene00007727",0,0,0,0,0.416944890517568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C25F9.8","C25F9.8","","",NA,NA,"CBN06180 | WBGene00144905",35.6287,"CRE19019 | WBGene00057828",30.5389,NA,NA
"582","WBGene00007729",0.0603225246327783,0,0,0.0634131292445182,0.208472445258784,0,0,0,0,0,0,0,0.0860107660535977,0,0,0.0854319003313861,0.0345324305450951,0.0390788413670638,0.0474812006495238,0,"clec-185","C25G4.1","C-type LECtin","C-type lectin-like, C-type lectin-like/link domain superfamily, C-type lectin fold","Cbr-clec-185 | WBGene00026215",55.1587,NA,NA,"Cre-clec-185 | WBGene00084130",28.1746,NA,NA
"583","WBGene00007747",0,0,0,0,0,0,0,0,0,0.048893854766085,0.188731579719181,0.145879654682434,0.0860107660535977,0.0721105622215361,0.14464982429205,0,0.0345324305450951,0.156315365468255,0,0.0401396329383098,"C26E1.1","C26E1.1","YkgJ family cysteine cluster protein","",NA,NA,NA,NA,NA,NA,NA,NA
"584","WBGene00007759",0,0,0,0.126826258489036,0,0,0,0,0,0,0.0629105265730604,0,0,0.108165843332304,0.216974736438075,0.042715950165693,0.0690648610901902,0.0781576827341277,0,0.0802792658766197,"C27A7.9","C27A7.9","ShKT domain-containing protein","Thrombospondin type-1 (TSP1) repeat, Thrombospondin type-1 (TSP1) repeat superfamily","CBG30993 | WBGene00271659",56.8421,NA,NA,NA,NA,NA,NA
"585","WBGene00007770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nhr-259","C27C7.8","NR LBD domain-containing protein","Nuclear hormone receptor, ligand-binding domain, Nuclear hormone receptor-like domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"586","WBGene00007793",0,0,0,0.126826258489036,0.138981630172523,0,0,0,0,0,0,0,0,0,0,0.0854319003313861,0.13812972218038,0.0781576827341277,0.0474812006495238,0,"C28D4.5","C28D4.5","DUF1248 domain-containing protein","Domain of unknown function DUF1248, Acyl-CoA N-acyltransferase","CBG15004 | WBGene00035365",57.2238,NA,NA,"CRE17665 | WBGene00073481",56.9405,"CJA05038 | WBGene00124242",55.2408
"587","WBGene00007794",0.0603225246327783,0.0515350327938028,0,0,0.208472445258784,0,0.108388858687538,0,0,0,0,0.0729398273412171,0,0,0,0,0.13812972218038,0.0781576827341277,0,0,"C28D4.7","C28D4.7","DUF1248 domain-containing protein","Domain of unknown function DUF1248",NA,NA,"CBN03249 | WBGene00141974",30.3835,NA,NA,NA,NA
"588","WBGene00007795",0.0603225246327783,0,0,0.126826258489036,0.277963260345046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C28D4.8","C28D4.8","DUF1248 domain-containing protein","Domain of unknown function DUF1248, Acyl-CoA N-acyltransferase","CBG15004 | WBGene00035365",55.5241,NA,NA,"CRE17665 | WBGene00073481",56.0907,"CJA05038 | WBGene00124242",53.2578
"589","WBGene00007831",0,0,0,0,0.0694908150862614,0,0,0,0,0,0,0,0,0,0,0.0854319003313861,0.13812972218038,0.0781576827341277,0,0.0802792658766197,"srbc-83","C31A11.3","Serpentine Receptor, class BC (Class B-like)","7TM GPCR, serpentine receptor class bc (Srbc)",NA,NA,NA,NA,NA,NA,NA,NA
"590","WBGene00007834",0.241290098531113,0.103070065587606,0,0,0.277963260345046,0,0,0,0,0,0,0.0364699136706086,0,0.036055281110768,0,0,0,0.156315365468255,0.0474812006495238,0,"srxa-7","C31A11.6","Serpentine Receptor, class XA","7TM GPCR, serpentine receptor class xa (Srxa)","Cbr-srxa-7 | WBGene00042528",61.5152,"Cbn-srxa-7 | WBGene00162226",85.1515,"Cre-srxa-7 | WBGene00063769",84.8485,NA,NA
"591","WBGene00007851",0,0,0,0.190239387733555,0.208472445258784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"clec-245","C31G12.2","C-type lectin domain-containing protein","C-type lectin-like, C-type lectin-like/link domain superfamily, C-type lectin fold",NA,NA,NA,NA,NA,NA,NA,NA
"592","WBGene00007852",0,0,0,0,0,0,0,0,0.0569619265343806,0,0,0,0,0,0,0,0,0,0,0,"C31G12.3","C31G12.3","Transposase","",NA,NA,NA,NA,NA,NA,NA,NA
"593","WBGene00007865",0,0,0,0.190239387733555,0.277963260345046,0,0,0,0,0,0,0,0,0,0,0,0,0.0781576827341277,0.189924802598095,0.0401396329383098,"srz-15","C32H11.2","Serpentine Receptor, class Z","7TM GPCR, serpentine receptor class z (Srz)",NA,NA,NA,NA,NA,NA,NA,NA
"594","WBGene00007871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390788413670638,0.189924802598095,0,"C32H11.8","C32H11.8","DUF148 domain-containing protein","SXP/RAL-2 family protein Ani s 5-like, cation-binding domain","CBG21288 | WBGene00040108",42.0513,NA,NA,"CRE11004 | WBGene00080441",42.5641,NA,NA
"595","WBGene00007872",0,0,0,0.0634131292445182,0.277963260345046,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0,0,0,"C32H11.9","C32H11.9","CUB_2 domain-containing protein","CUB-like domain","Cbr-dod-24 | WBGene00042507",42.0054,"CBN20011 | WBGene00158736",45.2575,"Cre-dod-24.2 | WBGene00062703",48.2385,NA,NA
"596","WBGene00007873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dod-21","C32H11.10","CUB_2 domain-containing protein","CUB-like domain","Cbr-dod-24 | WBGene00042507",42.9363,"CBN20011 | WBGene00158736",46.2604,"Cre-dod-24.2 | WBGene00062703",49.3075,NA,NA
"597","WBGene00007874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C32H11.11","C32H11.11","DUF148 domain-containing protein","SXP/RAL-2 family protein Ani s 5-like, cation-binding domain","CBG21288 | WBGene00040108",42.0513,NA,NA,"CRE11004 | WBGene00080441",42.5641,NA,NA
"598","WBGene00007876",0.0603225246327783,0,0,0.0634131292445182,0.416944890517568,0,0,0,0,0.048893854766085,0,0,0,0,0,0,0,0.195394206835319,0,0.0802792658766197,"dct-19","C32H11.13","CUB_2 domain-containing protein","CUB-like domain","CBG06342 | WBGene00028637",45.2663,NA,NA,"CRE20536 | WBGene00069215",47.3373,NA,NA
"599","WBGene00007888",0,0.103070065587606,0,0,0.138981630172523,0.048212685827963,0,0,0,0,0.0629105265730604,0,0.0430053830267988,0.036055281110768,0,0,0,0.156315365468255,0,0.0802792658766197,"ttr-9","C33A12.15","TransThyretin-Related family domain","Transthyretin-like, Transthyretin-like superfamily","Cbr-ttr-9 | WBGene00043000",51.875,"Cbn-ttr-9 | WBGene00149395",40,"Cre-ttr-9.2 | WBGene00070270",50,NA,NA
"600","WBGene00008001",0.0603225246327783,0,0,0.126826258489036,0.347454075431307,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0.234473048202383,0,0,"C38C10.3","C38C10.3","","Protein of unknown function DUF508","CBG06791 | WBGene00029007",38.206,"CBN03464 | WBGene00142189",35.2159,"CRE04589 | WBGene00055732",38.206,"CJA10399 | WBGene00129603",35.8804
"601","WBGene00008027",0,0,0,0,0.347454075431307,0,0,0,0,0,0,0,0,0.036055281110768,0,0.042715950165693,0.0690648610901902,0,0.0949624012990477,0.160558531753239,"scl-5","C39E9.2","SCP domain-containing protein","Cysteine-rich  secretory protein-related, Venom allergen 5-like, CAP domain, CAP superfamily","Cbr-scl-5 | WBGene00025028",76.4423,NA,NA,"Cre-scl-5 | WBGene00074098",75.4808,"CJA37505 | WBGene00213352",55.7692
"602","WBGene00008029",0,0,0,0.126826258489036,0.625417335776353,0,0,0,0,0,0,0,0,0,0,0,0,0.0390788413670638,0,0,"scl-7","C39E9.5","SCP domain-containing protein","Cysteine-rich  secretory protein-related, Venom allergen 5-like, CAP domain, CAP superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"603","WBGene00008030",0,0,0,0,0.277963260345046,0,0,0,0,0,0,0,0,0,0,0,0.103597291635285,0,0,0.0401396329383098,"scl-8","C39E9.6","SCP domain-containing protein","Cysteine-rich  secretory protein-related, Venom allergen 5-like, CAP domain, CAP superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"604","WBGene00008036",0,0,0,0,0.138981630172523,0,0,0,0,0,0,0,0.0860107660535977,0.108165843332304,0,0.0854319003313861,0,0.312630730936511,0.0949624012990477,0,"C40C9.3","C40C9.3","","",NA,NA,NA,NA,NA,NA,NA,NA
"605","WBGene00008054",0,0,0,0.126826258489036,0.138981630172523,0,0,0,0,0,0,0,0,0,0,0,0,0.0781576827341277,0,0.0802792658766197,"C41C4.9","C41C4.9","","","CBG13335 | WBGene00034114",63.8889,"CBN22389 | WBGene00161114",51.8519,NA,NA,NA,NA
"606","WBGene00008058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C41G6.12","C41G6.12","Seven TM Receptor","7TM GPCR, serpentine receptor class r (Str)",NA,NA,"CBN07584 | WBGene00146309",39.5349,"CRE15994 | WBGene00082047",38.1395,NA,NA
"607","WBGene00008059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C41G6.13","C41G6.13","Secreted protein","","CBG05720 | WBGene00028115",23.4513,"CBN18978 | WBGene00157703",21.6814,"CRE24688 | WBGene00067101",26.5487,NA,NA
"608","WBGene00008069",0.0301612623163892,0,0.207830502586632,0,0,0,0,0,0,0,0,0.0364699136706086,0,0,0,0,0.0690648610901902,0.0390788413670638,0.0949624012990477,0,"C43D7.7","C43D7.7","","",NA,NA,NA,NA,NA,NA,NA,NA
"609","WBGene00008084",0,0,0,0.126826258489036,0.48643570560383,0.048212685827963,0,0,0,0,0,0,0,0,0,0,0,0.117236524101192,0,0.160558531753239,"C44C10.3","C44C10.3","MFS domain-containing protein","Major facilitator,  sugar transporter-like, Major facilitator superfamily domain, MFS transporter superfamily","CBG15510 | WBGene00035744",60.1266,"CBN14299 | WBGene00153024",73.8397,"CRE05956 | WBGene00050983",80.8017,NA,NA
"610","WBGene00008097",0.0603225246327783,0,0,0.190239387733555,0.416944890517568,0.0964253716559259,0,0,0,0,0,0.0729398273412171,0,0,0,0,0.0690648610901902,0,0,0.0802792658766197,"ugt-15","C44H9.1","UDP-glucuronosyltransferase","UDP-glucuronosyl/UDP-glucosyltransferase, UDP-glycosyltransferase family, conserved site","CBG29785 | WBGene00270332",77.1536,"Cbn-ugt-15 | WBGene00148724",78.6517,"CRE15935 | WBGene00061076",29.2135,NA,NA
"611","WBGene00008113",0,0,0,0,0.277963260345046,0,0,0,0,0,0,0,0,0,0.216974736438075,0.042715950165693,0,0.0781576827341277,0.0949624012990477,0.240837797629859,"C46C2.5","C46C2.5","Secreted protein","","CBG15083 | WBGene00035421",46.6368,"CBN09103 | WBGene00147828",45.2915,"CRE14137 | WBGene00063918",45.7399,NA,NA
"612","WBGene00008125",0,0,0,0.0634131292445182,0.208472445258784,0,0,0,0,0,0,0,0,0,0,0,0.103597291635285,0,0,0,"C47A4.5","C47A4.5","RNA-binding protein","",NA,NA,"CBN05010 | WBGene00143735",78.6667,NA,NA,"CJA28294 | WBGene00183868",82.6667
"613","WBGene00008126",0,0,0,0,0.416944890517568,0,0.108388858687538,0,0.0569619265343806,0,0,0,0,0,0,0,0,0,0,0.0802792658766197,"sre-21","C47A10.4","Serpentine receptor class epsilon-21","7TM GPCR, serpentine receptor class e (Sre)","Cbr-sre-21 | WBGene00028082",61.0959,"Cbn-sre-21 | WBGene00150867",50.137,"CRE18327 | WBGene00072870",25.4795,"CJA28280 | WBGene00183854",13.4247
"614","WBGene00008129",0.0603225246327783,0,0,0,0,0,0,0,0,0,0,0.0729398273412171,0,0,0.0361624560730126,0,0,0.0781576827341277,0.0474812006495238,0.280977430568169,"C47A10.12","C47A10.12","","Vitelline membrane outer layer protein I (VOMI), Vitelline membrane outer layer protein I (VOMI) superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"615","WBGene00008152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0,0,0,"C47E12.9","C47E12.9","","","CBG03444 | WBGene00026310",37.2549,"CBN21015 | WBGene00159740",32.3529,"CRE07887 | WBGene00065612",29.902,NA,NA
"616","WBGene00008153",0,0,0,0.253652516978073,0.277963260345046,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0.0781576827341277,0,0,"C47E12.10","C47E12.10","","DUF236 repeat","CBG19707 | WBGene00038881",61.8243,"CBN23424 | WBGene00162149",64.1892,"CRE20696 | WBGene00060905",61.4865,"CJA20479 | WBGene00176051",29.0541
"617","WBGene00008154",0,0.103070065587606,0,0.126826258489036,0.208472445258784,0,0,0.105365506620536,0,0,0,0,0,0,0,0,0,0,0,0,"C47E12.11","C47E12.11","Suppressor protein SRP40-like","","CBG12718 | WBGene00033624",33.8798,NA,NA,"CRE28215 | WBGene00056156",33.3333,NA,NA
"618","WBGene00008155",0.0603225246327783,0,0,0,0,0,0,0,0,0,0,0.0729398273412171,0.0430053830267988,0,0.0361624560730126,0,0,0.156315365468255,0.189924802598095,0.0802792658766197,"C47E12.12","C47E12.12","","","CBG19708 | WBGene00038882",49.3421,"CBN25014 | WBGene00163739",52.6316,"CRE20755 | WBGene00082944",55.2632,"CJA40682 | WBGene00216530",42.7632
"619","WBGene00008159",0,0,0,0.126826258489036,0.0694908150862614,0,0,0,0,0,0,0,0,0.0721105622215361,0,0,0,0,0,0.0802792658766197,"C47F8.3","C47F8.3","Hexosyltransferase","Glycosyl transferase, family 31",NA,NA,NA,NA,NA,NA,NA,NA
"620","WBGene00008211",0,0,0,0,0.208472445258784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189924802598095,0.160558531753239,"C49F5.7","C49F5.7","Carrier domain-containing protein","","CBG30809 | WBGene00270773",65.9091,"CBN13337 | WBGene00152062",64.7727,"CRE16624 | WBGene00081880",69.3182,"CJA18563 | WBGene00137767",44.3182
"621","WBGene00008217",0,0,0,0.126826258489036,0.555926520690091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C50B6.1","C50B6.1","DUF4817 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"622","WBGene00008244",0,0,0,0,0.277963260345046,0,0,0,0,0,0.0314552632865302,0,0,0,0.0723249121460252,0.042715950165693,0.0690648610901902,0.156315365468255,0,0.240837797629859,"fipr-11","C50H2.10","FIP (Fungus-Induced Protein) Related","","CBG19402 | WBGene00038634",89.1892,"CBN04347 | WBGene00143072",87.8378,"CRE23261 | WBGene00067639",85.1351,"CJA31007 | WBGene00206854",74.3243
"623","WBGene00008250",0,0,0,0.0634131292445182,0.138981630172523,0,0,0,0,0,0,0,0,0,0,0,0.0345324305450951,0,0,0,"srsx-29","C51E3.4","G_PROTEIN_RECEP_F1_2 domain-containing protein","G protein-coupled receptor, rhodopsin-like, GPCR, rhodopsin-like, 7TM, Serpentine type 7TM GPCR chemoreceptor Srsx, Serpentine type 7TM GPCR chemoreceptor Srsx, nematodes","Cbr-srsx-29 | WBGene00031098",89.5238,"Cbn-srsx-29 | WBGene00143243",89.2064,"Cre-srsx-29 | WBGene00059063",86.6667,NA,NA
"624","WBGene00008257",0,0,0,0.126826258489036,0.416944890517568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C52A11.3","C52A11.3","PDZ domain-containing protein C52A11.3","PDZ domain, PDZ superfamily, PDZ domain 6",NA,NA,NA,NA,NA,NA,NA,NA
"625","WBGene00008268",0,0,0,0.253652516978073,0.208472445258784,0,0,0,0,0,0,0,0,0,0,0,0,0.0781576827341277,0,0.0401396329383098,"srt-32","C53A5.10","Serpentine Receptor, class T","7TM GPCR, serpentine receptor class t (Srt)","CBG01218 | WBGene00024484",52.071,"CBN30593 | WBGene00192558",48.5207,"CRE27934 | WBGene00073112",49.7041,NA,NA
"626","WBGene00008272",0,0,0,0,0.555926520690091,0,0,0,0,0,0,0,0,0.0721105622215361,0,0,0,0.234473048202383,0,0.0802792658766197,"C53B4.2","C53B4.2","DUF4776 domain-containing protein","Protein of unknown function DUF851","CBG08461 | WBGene00030246",33.0317,"CBN00857 | WBGene00139582",47.0588,"CRE28100 | WBGene00056357",43.2127,"CJA15860 | WBGene00135064",33.7104
"627","WBGene00008290",0.0603225246327783,0,0,0.0634131292445182,0.347454075431307,0,0,0,0,0,0,0,0,0.0721105622215361,0.0723249121460252,0.0854319003313861,0,0.156315365468255,0,0,"bgnt-1.8","C54C8.2","B3GNT1, Beta-1,3-N-acetylGucosamiNylTransferase 1, homolog","",NA,NA,NA,NA,"CRE12974 | WBGene00067609",47.2222,"CJA09898 | WBGene00129102",14.1414
"628","WBGene00008293",0,0,0,0,0.347454075431307,0,0,0,0,0,0,0.0729398273412171,0,0.036055281110768,0,0,0.0690648610901902,0.0390788413670638,0,0,"glct-5","C54C8.5","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase","Glycosyl transferase, family 43, Nucleotide-diphospho-sugar transferases","Cbr-glct-6 | WBGene00030104",52.9605,NA,NA,"CRE17762 | WBGene00075101",51.9737,NA,NA
"629","WBGene00008294",0,0,0,0,0.277963260345046,0,0.0541944293437689,0,0,0,0,0,0,0,0,0.128147850497079,0.0690648610901902,0.156315365468255,0.0949624012990477,0,"clec-11","C54C8.7","C-type LECtin","CUB domain, C-type lectin-like, C-type lectin-like/link domain superfamily, C-type lectin fold, Spermadhesin, CUB domain superfamily","CBG10309 | WBGene00031718",43.6451,"Cbn-clec-9.1 | WBGene00161973",44.8441,NA,NA,NA,NA
"630","WBGene00008295",0,0,0.103915251293316,0,0.138981630172523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"nlp-39","C54C8.9","Neuropeptide-Like Protein","",NA,NA,NA,NA,NA,NA,NA,NA
"631","WBGene00008321",0,0,0,0,0.277963260345046,0,0,0,0,0,0,0,0,0,0.0723249121460252,0.0854319003313861,0,0.0781576827341277,0,0,"C55A1.1","C55A1.1","","7TM GPCR, serpentine receptor class r (Str)",NA,NA,NA,NA,"CRE04879 | WBGene00078753",14.8699,NA,NA
"632","WBGene00008322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C55A1.4","C55A1.4","DUF2059 domain-containing protein","Protein of unknown function DUF4473","CBG04677 | WBGene00027303",69.6078,"CBN25350 | WBGene00164075",71.5686,"CRE08915 | WBGene00056933",75.4902,NA,NA
"633","WBGene00008326",0,0,0,0.0634131292445182,0,0,0,0,0.113923853068761,0,0,0,0.0430053830267988,0.0721105622215361,0.14464982429205,0,0.207194583270571,0.0781576827341277,0,0.160558531753239,"C55A1.11","C55A1.11","Shootin-1","",NA,NA,NA,NA,NA,NA,NA,NA
"634","WBGene00008357",0,0,0,0.0634131292445182,0.138981630172523,0,0,0,0,0,0,0,0,0.0721105622215361,0,0,0.207194583270571,0,0.0949624012990477,0.321117063506479,"nspc-16","D1025.6","Nematode Specific Peptide family, group C","","CBG10615 | WBGene00031952",58.2524,"CBN23830 | WBGene00162555",59.2233,"CRE03544 | WBGene00074111",48.5437,"CJA15246 | WBGene00134450",54.3689
"635","WBGene00008358",0,0,0,0,0.277963260345046,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0,0.0949624012990477,0,"nspc-18","D1025.7","Nematode Specific Peptide family, group C","","CBG10615 | WBGene00031952",58.2524,"CBN23830 | WBGene00162555",59.2233,"CRE03544 | WBGene00074111",48.5437,"CJA15246 | WBGene00134450",53.3981
"636","WBGene00008367",0,0.0515350327938028,0.207830502586632,0,0.0694908150862614,0.0964253716559259,0.108388858687538,0,0,0,0,0.0729398273412171,0.129016149080397,0.0721105622215361,0.0361624560730126,0.042715950165693,0,0,0,0,"D1053.2","D1053.2","Histone-lysine N-methyltransferase, H3 lysine-79 specific","Histone-lysine N-methyltransferase DOT1 domain, S-adenosyl-L-methionine-dependent methyltransferase superfamily, Histone H3-K79 methyltransferase",NA,NA,"Cbn-dot-1.2 | WBGene00148014",29.2208,NA,NA,NA,NA
"637","WBGene00008378",0,0,0,0.126826258489036,0,0,0.325166576062613,0,0,0.048893854766085,0,0,0,0.0721105622215361,0,0.042715950165693,0.0690648610901902,0.156315365468255,0,0,"ule-3","D1054.11","Uterine Lumin Expressed/locailized","","Cbr-ule-3 | WBGene00031248",46.6877,"Cbn-ule-3 | WBGene00154249",45.7413,"Cre-ule-3 | WBGene00068961",48.5804,"Cjp-ule-3 | WBGene00127902",37.224
"638","WBGene00008381",0,0,0,0.0634131292445182,0.277963260345046,0,0,0,0,0,0,0,0.0860107660535977,0,0,0.0854319003313861,0,0,0,0,"D1081.3","D1081.3","Peptidase S1 domain-containing protein","Chymotrypsin family Peptidase-S1, Peptidase S1, PA clan, Peptidase S1, PA clan, chymotrypsin-like fold",NA,NA,NA,NA,NA,NA,NA,NA
"639","WBGene00008388",0,0,0,0.126826258489036,0.416944890517568,0,0,0.0526827533102681,0,0,0.0629105265730604,0,0.129016149080397,0,0,0,0,0.0781576827341277,0,0.0401396329383098,"D1086.1","D1086.1","DUF19 domain-containing protein","Domain of unknown function DUF19, Uncharacterised protein family UPF0376","CBG04726 | WBGene00027344",71.2707,"CBN24706 | WBGene00163431",77.3481,"CRE08944 | WBGene00056976",80.1105,"CJA00656 | WBGene00119860",53.5912
"640","WBGene00008394",0.0603225246327783,0,0.103915251293316,0,0.138981630172523,0,0.108388858687538,0.0526827533102681,0.113923853068761,0,0.0629105265730604,0.0364699136706086,0.0430053830267988,0,0.0723249121460252,0.042715950165693,0.13812972218038,0,0,0,"D1086.7","D1086.7","CW domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"641","WBGene00008470",0,0,0,0,0.416944890517568,0,0,0,0,0,0,0,0,0,0,0,0.13812972218038,0,0,0,"E03H4.2","E03H4.2","Methyltransf_21 domain-containing protein","Methyltransferase FkbM","CBG06357 | WBGene00028651",46.319,NA,NA,"CRE27108 | WBGene00052523",48.1595,NA,NA
"642","WBGene00008471",0,0,0,0.126826258489036,0.208472445258784,0,0,0,0,0,0,0,0,0,0,0,0.0690648610901902,0.0781576827341277,0,0,"E03H4.3","E03H4.3","Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1","Fringe-like",NA,NA,NA,NA,NA,NA,"CJA10944 | WBGene00130148",18.0124
"643","WBGene00008473",0,0,0,0,0,0,0.0541944293437689,0,0,0,0,0,0,0,0,0,0.0690648610901902,0,0,0,"E03H4.5","E03H4.5","Glycosyltransferase family 92 protein","Glycosyltransferase family 92",NA,NA,NA,NA,"CRE18586 | WBGene00058001",55.2402,NA,NA
"644","WBGene00008479",0,0,0,0,0.555926520690091,0,0,0,0,0,0,0,0,0,0,0.042715950165693,0,0.0781576827341277,0.0474812006495238,0,"glct-2","E03H4.12","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase","Glycosyl transferase, family 43, Nucleotide-diphospho-sugar transferases","Cbr-glct-6 | WBGene00030104",52.669,NA,NA,"CRE17762 | WBGene00075101",55.1601,NA,NA
"645","WBGene00008523",0,0,0,0,0.0694908150862614,0.048212685827963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802792658766197,"F02D10.2","F02D10.2","Transposase","",NA,NA,NA,NA,NA,NA,NA,NA
"646","WBGene00008527",0,0,0,0,0.48643570560383,0,0,0,0,0,0,0,0.0860107660535977,0,0,0,0.0690648610901902,0,0,0,"set-8","F02D10.7","SET domain-containing protein","SET domain, Zinc finger, PHD-type, Zinc finger, FYVE/PHD-type, Zinc finger, RING/FYVE/PHD-type, SET domain superfamily",NA,NA,"Cbn-set-8 | WBGene00158643",32.9238,NA,NA,NA,NA
"647","WBGene00008539",0,0,0,0,0.208472445258784,0,0,0,0,0,0,0,0,0.0721105622215361,0,0,0.0690648610901902,0,0,0.0802792658766197,"F02H6.6","F02H6.6","Fibrinogen C-terminal domain-containing protein","Thrombospondin type-1 (TSP1) repeat","CBG18745 | WBGene00038110",47.4403,NA,NA,NA,NA,NA,NA
"648","WBGene00008540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13812972218038,0,0,0,"F02H6.7","F02H6.7","","Thrombospondin type-1 (TSP1) repeat","CBG18745 | WBGene00038110",49.4915,NA,NA,NA,NA,NA,NA
"649","WBGene00008575",0,0,0,0.126826258489036,0.138981630172523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"scl-24","F08E10.7","SCP domain-containing protein","CAP domain, CAP superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"650","WBGene00008615",0.0603225246327783,0,0,0,0.208472445258784,0,0,0,0,0,0,0,0.129016149080397,0.036055281110768,0.0361624560730126,0,0.0690648610901902,0,0.0949624012990477,0,"ifas-2","F09C6.1","Inducible FAScin Domain containing","Actin-crosslinking, Fascin domain",NA,NA,NA,NA,NA,NA,NA,NA
