"","geneID","EE-SRS266350","L2-SRS266346","L4-SRS266347","Ad_female-SRS266349","Ad_male-SRS266348","geneName","WormBaseID","Description","InterPro","GS1_homologID","GS1_percent_homology","GS2_homologID","GS2_percent_homology","GS3_homologID","GS3_percent_homology","GS4_homologID","GS4_percent_homology"
"2626","WBGene00134738",0.128566408053194,0,0,0,0,"CJA15534","CJA15534","HTH_48 domain-containing protein",", Transposase, type 1, Mos1 transposase, HTH domain",NA,NA,NA,NA,NA,NA,NA,NA
"2627","WBGene00134753",0.514265632212776,0,0,0,0,"CJA15549","CJA15549","NET domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2628","WBGene00134778",0.128566408053194,0.0604038103448411,0.0609681411588056,0,0,"CJA15574","CJA15574","Paired domain-containing protein","Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"2629","WBGene00134779",0,0,0,0,0,"CJA15575","CJA15575","Protein kinase domain-containing protein","Protein kinase domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain superfamily","cdk-14 | WBGene00022519",90.678,"CBG18552 | WBGene00037948",92.7966,"CBN11727 | WBGene00150452",93.6441,"CRE20723 | WBGene00060965",91.9492
"2630","WBGene00134800",0,0,0,0,0,"Cjp-cul-1","CJA15596","CULLIN_2 domain-containing protein","Cullin, N-terminal, Cullin, conserved site, Cullin homology domain, Cullin repeat-like-containing domain superfamily, Cullin protein, neddylation domain, Cullin homology domain superfamily, Winged helix-like DNA-binding domain superfamily, Winged helix DNA-binding domain superfamily, Cullin","cul-1 | WBGene00000836",79.8429,"Cbr-cul-1 | WBGene00037818",76.9633,"Cbn-cul-1 | WBGene00147240",79.1885,"Cre-cul-1 | WBGene00055760",79.1885
"2631","WBGene00134803",0,0,0,0,0,"CJA15599","CJA15599","Rab-GAP TBC domain-containing protein","",NA,NA,"CBG08268 | WBGene00030093",10.2326,"CBN02837 | WBGene00141562",35.814,"CRE20167 | WBGene00073542",37.2093
"2632","WBGene00134809",0,0,0.914522117382084,0,0.0614126581805837,"Cjp-hmgr-1","CJA15605","3-hydroxy-3-methylglutaryl coenzyme A reductase","Hydroxymethylglutaryl-CoA reductase, class I/II, Hydroxymethylglutaryl-CoA reductase, eukaryotic/archaeal type, Hydroxymethylglutaryl-CoA reductase, class I/II, NAD/NADP-binding domain superfamily, Hydroxymethylglutaryl-CoA reductase, class I/II, substrate-binding domain superfamily, Hydroxymethylglutaryl-CoA reductase, class I/II, catalytic domain superfamily, Hydroxymethylglutaryl-CoA reductase, class I/II, conserved site, Hydroxymethylglutaryl-CoA reductase, N-terminal","hmgr-1 | WBGene00017268",78.8707,"Cbr-hmgr-1 | WBGene00035603",76.1384,"Cbn-hmgr-1 | WBGene00158612",74.8634,"Cre-hmgr-1 | WBGene00066431",78.8707
"2633","WBGene00134821",0,0,0,0,0,"CJA15617","CJA15617","RCC1 domain-containing protein 1","Regulator of chromosome condensation, RCC1, Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II","K11D2.1 | WBGene00010768",54.0351,"CBG15383 | WBGene00035672",48.7719,"CBN04611 | WBGene00143336",46.6667,NA,NA
"2634","WBGene00134831",0,0,0,0,0,"CJA15627","CJA15627","DAN domain-containing protein","","F17C11.26 | WBGene00303011",46.3602,"CBG31171 | WBGene00303010",45.2107,"Cbn-zip-9.2 | WBGene00190730",47.8927,"Cre-zip-9.2 | WBGene00066243",45.977
"2635","WBGene00134834",0,0,0,0,0,"CJA15630","CJA15630","HTH_48 domain-containing protein","Transposase, type 1, Ribonuclease H superfamily",NA,NA,NA,NA,"CBN01338 | WBGene00140063",46.8635,"CRE01994 | WBGene00077960",18.8192
"2636","WBGene00134841",0,0,0,0,0,"CJA15637","CJA15637","HTH_Tnp_Tc3_2 domain-containing protein","Transposase, Tc1-like, Ribonuclease H superfamily, Tc1-like transposase, DDE domain",NA,NA,NA,NA,NA,NA,"CRE13033 | WBGene00060211",38.6973
"2637","WBGene00134847",0.128566408053194,0.0604038103448411,0,0.122046050782019,0,"CJA15643","CJA15643","G_PROTEIN_RECEP_F1_2 domain-containing protein","7TM GPCR, serpentine receptor class a (Sra)","sra-27 | WBGene00005053",60.6383,NA,NA,"Cbn-sra-27 | WBGene00157230",54.2553,"Cre-sra-27 | WBGene00054112",55.3191
"2638","WBGene00134857",0,0,0.0609681411588056,0,0,"Cjp-pqbp-1.1","CJA15653","Polyglutamine tract-binding protein 1","WW domain, WW domain superfamily, ","pqbp-1.1 | WBGene00020647",81.9188,"Cbr-pqbp-1.1 | WBGene00031910",81.5498,"Cbn-pqbp-1.1 | WBGene00143791",80.4428,"Cre-pqbp-1.1 | WBGene00064607",82.2878
"2639","WBGene00134860",0,0,0,0,0,"CJA15656","CJA15656","Delta-like protein","EGF-type aspartate/asparagine hydroxylation site, EGF-like domain, EGF-like calcium-binding domain, Growth factor receptor cysteine-rich domain superfamily, EGF-like, conserved site, EGF-like domain, extracellular, EGF-like calcium-binding, conserved site",NA,NA,NA,NA,NA,NA,NA,NA
"2640","WBGene00134864",0.192849612079791,0.0604038103448411,0.182904423476417,0,0.0614126581805837,"Cjp-nhr-256","CJA15660","Nuclear receptor domain-containing protein","Nuclear hormone receptor, ligand-binding domain, Zinc finger, nuclear hormone receptor-type, Zinc finger, NHR/GATA-type, Nuclear hormone receptor-like domain superfamily","nhr-256 | WBGene00022805",53.5948,"Cbr-nhr-256 | WBGene00028810",52.0697,"Cbn-nhr-256 | WBGene00152876",56.8627,"Cre-nhr-256 | WBGene00082437",55.9913
"2641","WBGene00134872",0,0,0,0,0,"Cjp-mppb-1","CJA15668","Peptidase_M16 domain-containing protein","Peptidase M16, C-terminal, Metalloenzyme, LuxS/M16 peptidase-like, Peptidase M16, N-terminal, Peptidase M16, zinc-binding site","mppb-1 | WBGene00013880",78.1818,"Cbr-mppb-1 | WBGene00040453",77.4545,"Cbn-mppb-1 | WBGene00139496",79.6364,"Cre-mppb-1 | WBGene00063890",76.3636
"2642","WBGene00134889",0.128566408053194,0.181211431034523,0.121936282317611,0.183069076173029,0.0614126581805837,"Cjp-twk-7","CJA15685","Ion_trans_2 domain-containing protein","Two pore domain potassium channel, Potassium channel domain","twk-7 | WBGene00006662",95.493,"Cbr-twk-7 | WBGene00041374",95.7747,"Cbn-twk-7 | WBGene00150901",96.0563,"Cre-twk-7 | WBGene00064462",96.0563
"2643","WBGene00134892",0,0,0,0,0,"CJA15688","CJA15688","Rap-GAP domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2644","WBGene00134896",0.192849612079791,0.604038103448411,0.121936282317611,0,0,"Cjp-srd-34","CJA15692","G_PROTEIN_RECEP_F1_2 domain-containing protein","7TM GPCR, serpentine receptor class d (Srd)",NA,NA,NA,NA,"Cbn-srd-34 | WBGene00151018",33.1776,NA,NA
"2645","WBGene00134901",0,0,0,0,0,"CJA15697","CJA15697","ZM domain-containing protein","","Y116A8C.23 | WBGene00013800",43.2432,"CBG15771 | WBGene00035913",40.5405,"CBN06376 | WBGene00145101",18.018,"CRE02847 | WBGene00063434",43.2432
"2646","WBGene00134929",0,0.0604038103448411,0,0,0,"CJA15725","CJA15725","CS domain-containing protein",", PapD-like superfamily, Immunoglobulin-like fold","Y41C4A.7 | WBGene00012754",42.2594,"CBG13244 | WBGene00034035",43.5146,"CBN09945 | WBGene00148670",46.0251,"CRE01091 | WBGene00063065",41.841
"2647","WBGene00134930",0,0,0,0,0,"CJA15726","CJA15726","Methyltransf_21 domain-containing protein","WlaTC/HtrL glycosyltransferase","htrl-1 | WBGene00011713",66.3014,"CBG23225 | WBGene00041616",62.1918,"CBN32374 | WBGene00194339",64.9315,"CRE21018 | WBGene00083999",15.4795
"2648","WBGene00134931",0.064283204026597,0,0.121936282317611,0,0,"CJA15727","CJA15727","Purple acid phosphatase","Calcineurin-like phosphoesterase domain, ApaH type, Purple acid phosphatase-like, N-terminal, Iron/zinc purple acid phosphatase-like C-terminal domain, Metallo-dependent phosphatase-like, Purple acid phosphatase, metallophosphatase domain, Purple acid phosphatase, N-terminal","C08B6.14 | WBGene00044044",81.7757,"CBG26752 | WBGene00088166",82.0093,"CBN32783 | WBGene00194980",81.3084,"CRE27171 | WBGene00052649",76.8692
"2649","WBGene00134933",0.064283204026597,0.362422862069047,0,0,0,"CJA15729","CJA15729","BSD domain-containing protein","",NA,NA,NA,NA,NA,NA,"CRE00581 | WBGene00077908",31.6547
"2650","WBGene00134938",0,0,0,0,0,"Cjp-szy-20","CJA15734","SUZ domain-containing protein","SUZ domain, SUZ domain-containing protein 1","szy-20 | WBGene00004105",52.5562,"Cbr-szy-20 | WBGene00026125",50.5112,"Cbn-szy-20 | WBGene00190532",40.8998,"Cre-szy-20 | WBGene00053264",50.3067
"2651","WBGene00134950",0.128566408053194,0,0,0,0,"CJA15746","CJA15746","DDE_3 domain-containing protein","Ribonuclease H superfamily, Tc1-like transposase, DDE domain",NA,NA,NA,NA,NA,NA,NA,NA
"2652","WBGene00134951",0,0,0,0,0,"CJA15747","CJA15747","Serpentine receptor class gamma","7TM GPCR, serpentine receptor class h (Srh)","srh-220 | WBGene00005430",37.3494,NA,NA,NA,NA,"CRE19075 | WBGene00057754",34.3373
"2653","WBGene00134960",0,0,0,0,0,"Cjp-gnrr-3","CJA15756","G_PROTEIN_RECEP_F1_2 domain-containing protein","G protein-coupled receptor, rhodopsin-like, GPCR, rhodopsin-like, 7TM","gnrr-3 | WBGene00013871",81.8414,"Cbr-gnrr-3 | WBGene00025102",75.4476,"Cbn-gnrr-3 | WBGene00192913",83.1202,"Cre-gnrr-3 | WBGene00063144",81.5857
"2654","WBGene00134965",0,0,0,0,0,"Cjp-cec-3","CJA15761","Chromo domain-containing protein","Chromo/chromo shadow domain, Chromo-like domain superfamily, Chromo domain, conserved site, Chromo domain","cec-3 | WBGene00011636",45.8824,"Cbr-cec-3 | WBGene00026188",35,"Cbn-cec-3 | WBGene00145163",32.9412,"Cre-cec-3 | WBGene00057701",37.3529
"2655","WBGene00134966",0,0,0.0609681411588056,0,0,"CJA15762","CJA15762","WH2 domain-containing protein","","T23B5.3 | WBGene00011940",65.019,"CBG03487 | WBGene00026348",49.0494,"CBN30700 | WBGene00192665",64.6388,"CRE29954 | WBGene00062677",65.3992
"2656","WBGene00134968",0,0,0,0,0,"CJA15764","CJA15764","HTH myb-type domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2657","WBGene00134971",0.257132816106388,0,0,0,0,"CJA15767","CJA15767","SCP domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2658","WBGene00134972",0.128566408053194,0,0.0609681411588056,0,0,"CJA15768","CJA15768","C2 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2659","WBGene00134976",0,0,0,0,0,"CJA15772","CJA15772","Ion_trans_2 domain-containing protein","7TM GPCR, serpentine receptor class d (Srd)","F13G3.12 | WBGene00008770",45.614,"CBG21897 | WBGene00040569",40.9357,"CBN21815 | WBGene00160540",45.9064,NA,NA
"2660","WBGene00134988",0,0.120807620689682,0,0,0,"CJA15784","CJA15784","Reverse transcriptase domain-containing protein","Reverse transcriptase domain",NA,NA,NA,NA,NA,NA,NA,NA
"2661","WBGene00134996",0,0.0604038103448411,0.0609681411588056,0,0,"Cjp-unc-4","CJA15792","Homeobox domain-containing protein","Homeobox domain, Homeobox-like domain superfamily, Homeobox, conserved site","unc-4 | WBGene00006744",70.5357,"Cbr-unc-4 | WBGene00024297",68.3036,NA,NA,"Cre-unc-4 | WBGene00067190",70.5357
"2662","WBGene00134999",0.449982428186179,0.241615241379364,0,0.0610230253910096,0.0614126581805837,"CJA15795","CJA15795","LLGL domain-containing protein","","F52E4.5 | WBGene00018702",55.7746,"CBG14129 | WBGene00034727",56.0563,"CBN03785 | WBGene00142510",57.4648,"CRE00440 | WBGene00052050",57.7465
"2663","WBGene00135010",0.128566408053194,0.0604038103448411,0,0,0.245650632722335,"Cjp-srh-98","CJA15806","Serpentine receptor class gamma","7TM GPCR, serpentine receptor class h (Srh)",NA,NA,"CBG30881 | WBGene00271448",43.0233,NA,NA,NA,NA
"2664","WBGene00135011",0,0,0,0,0,"CJA15807","CJA15807","Histone-lysine N-methyltransferase SETMAR","Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"2665","WBGene00135014",0,0,0,0,0,"Cjp-mecr-1","CJA15810","ADH_zinc_N domain-containing protein","GroES-like superfamily, Alcohol dehydrogenase-like, C-terminal, Alcohol dehydrogenase-like, N-terminal, NAD(P)-binding domain superfamily","mecr-1 | WBGene00012375",53.9379,"Cbr-mecr-1 | WBGene00025795",53.9379,"Cbn-mecr-1 | WBGene00158840",53.9379,"Cre-mecr-1 | WBGene00053638",53.222
"2666","WBGene00135018",0.128566408053194,0.120807620689682,0.0609681411588056,0,0.122825316361167,"CJA15814","CJA15814","NR LBD domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2667","WBGene00135029",0.192849612079791,0.181211431034523,0,0,0.368475949083502,"CJA15825","CJA15825","60S ribosomal protein L6","",NA,NA,NA,NA,NA,NA,NA,NA
"2668","WBGene00135031",0,0,0,0,0,"CJA15827","CJA15827","ACB domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2669","WBGene00135036",0,0,0,0,0,"Cjp-ceh-43","CJA15832","Homeobox domain-containing protein","Helix-turn-helix motif, Homeobox domain, Homeobox-like domain superfamily, Homeobox, conserved site, Homeobox domain, metazoa","ceh-43 | WBGene00000463",54.3131,"Cbr-ceh-43 | WBGene00037554",61.3419,"Cbn-ceh-43 | WBGene00163696",57.8275,"Cre-ceh-43 | WBGene00061774",66.1342
"2670","WBGene00135041",0,0,0,0,0,"CJA15837","CJA15837","G_PROTEIN_RECEP_F1_2 domain-containing protein","GPCR, rhodopsin-like, 7TM, 7TM GPCR, serpentine receptor class bc (Srbc)","W05H5.1 | WBGene00012283",56.8323,"CBG20967 | WBGene00039863",59.6273,"CBN04498 | WBGene00143223",65.8385,"CRE06447 | WBGene00054538",66.4596
"2671","WBGene00135057",0,0,0,0,0,"CJA15853","CJA15853","DUF19 domain-containing protein",", Domain of unknown function DUF19","K09H9.5 | WBGene00019597",64.5714,"CBG04178 | WBGene00026905",62.8571,NA,NA,"CRE30098 | WBGene00057094",66.2857
"2672","WBGene00135060",0,0.604038103448411,0,0,0.122825316361167,"CJA15856","CJA15856","RRM domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2673","WBGene00135076",0,0,0,0,0,"Cjp-cat-1","CJA15872","MFS domain-containing protein","Major facilitator superfamily, Major facilitator superfamily domain, MFS transporter superfamily","cat-1 | WBGene00000295",69.3314,"Cbr-cat-1 | WBGene00035143",70.3488,"Cbn-cat-1 | WBGene00150053",70.4942,"Cre-cat-1 | WBGene00051633",71.0756
"2674","WBGene00135082",0,0,0,0.0610230253910096,0,"CJA15878","CJA15878","HTH_Tnp_Tc3_2 domain-containing protein","Transposase, Tc1-like, Homeobox-like domain superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"2675","WBGene00135084",0,0,0,0,0,"CJA15880","CJA15880","DDE_3 domain-containing protein","Ribonuclease H superfamily, Tc1-like transposase, DDE domain",NA,NA,NA,NA,NA,NA,"CRE13033 | WBGene00060211",75.6757
"2676","WBGene00135091",0,0,0,0,0,"Cjp-cyp-36A1","CJA15887","Cytochrome P450","Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site, Cytochrome P450 superfamily","cyp-36A1 | WBGene00007913",93.3063,"Cbr-cyp-36A1 | WBGene00026819",91.8864,NA,NA,"Cre-cyp-36A1 | WBGene00066602",92.2921
"2677","WBGene00135096",0,0.120807620689682,0,0,0,"CJA15892","CJA15892","Mariner Mos1 transposase","Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,"CRE23010 | WBGene00078662",48.9655
"2678","WBGene00135098",0,0,0,0,0,"CJA15894","CJA15894","Glycosyltransferase family 92 protein","Glycosyltransferase family 92",NA,NA,NA,NA,NA,NA,NA,NA
"2679","WBGene00135104",0,0,0,0.0610230253910096,0,"CJA15900","CJA15900","HTH_Tnp_Tc3_1 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2680","WBGene00135106",0,0.0604038103448411,0.0609681411588056,0,0,"Cjp-acl-9","CJA15902","PlsC domain-containing protein","Phospholipid/glycerol acyltransferase, Acyltransferase, C-terminal domain","acl-9 | WBGene00022646",83.5165,"Cbr-acl-9 | WBGene00038240",81.8681,"Cbn-acl-9 | WBGene00160097",82.6923,"Cre-acl-9 | WBGene00052160",84.0659
"2681","WBGene00135109",0,0,0,0,0,"CJA15905","CJA15905","G_PROTEIN_RECEP_F1_2 domain-containing protein","7TM GPCR, serpentine receptor class j (Srj)","srj-24 | WBGene00005612",54.6763,NA,NA,"Cbn-srj-23 | WBGene00158113",64.0288,"CRE09290 | WBGene00056868",2.8777
"2682","WBGene00135113",0,0,0,0,0,"CJA15909","CJA15909","DOMON domain-containing protein","DOMON domain, Copper-dependent monooxygenases, DOMON domain","cpg-22 | WBGene00020413",62.314,"CBG12669 | WBGene00033584",59.5041,"CBN29787 | WBGene00191752",61.157,"CRE23607 | WBGene00069007",60
"2683","WBGene00135117",0,0,0,0,0,"Cjp-tax-2","CJA15913","Cyclic nucleotide-binding domain-containing protein","Cyclic nucleotide-binding domain, Ion transport domain, RmlC-like jelly roll fold, Cyclic nucleotide-binding, conserved site, Cyclic nucleotide-binding domain superfamily","tax-2 | WBGene00006525",81.0013,"Cbr-tax-2 | WBGene00033375",78.5623,NA,NA,"Cre-tax-2 | WBGene00059947",48.7805
"2684","WBGene00135125",0.257132816106388,0.241615241379364,0.121936282317611,0.0610230253910096,0.184237974541751,"CJA15921","CJA15921","Endo/exonuclease/phosphatase domain-containing protein","Endonuclease/exonuclease/phosphatase, Endonuclease/exonuclease/phosphatase superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"2685","WBGene00135130",0,0.120807620689682,0,0,0,"CJA15926","CJA15926","MARVEL domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2686","WBGene00135131",0,0,0,0,0,"CJA15927","CJA15927","G_PROTEIN_RECEP_F1_2 domain-containing protein","7TM GPCR, serpentine chemoreceptor class i (Sri)","sri-12 | WBGene00005524",65.5602,"Cbr-sri-11 | WBGene00035658",48.9627,"Cbn-sri-11.2 | WBGene00152708",57.2614,"Cre-sri-11 | WBGene00070341",56.4315
"2687","WBGene00135133",0,0,0,0,0,"Cjp-ears-1.2","CJA15929","WHEP-TRS domain-containing protein","WHEP-TRS domain, S15/NS1, RNA-binding, Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain superfamily, Ribosomal protein L25/Gln-tRNA synthetase, N-terminal, Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain","ears-1 | WBGene00001337",49.9314,"Cbr-ears-1 | WBGene00040150",48.6968,"CBN30544 | WBGene00192509",45.4047,"Cre-ears-1 | WBGene00059838",47.5995
"2688","WBGene00135134",0,0,0,0,0,"CJA15930","CJA15930","Reverse transcriptase domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2689","WBGene00135140",0,0,0,0,0,"Cjp-sas-1","CJA15936","C2 domain-containing protein","C2 domain, C2 domain superfamily","sas-1 | WBGene00013742",53.405,"Cbr-sas-1 | WBGene00026407",55.0179,"Cbn-sas-1 | WBGene00152348",54.3011,"Cre-sas-1 | WBGene00061553",58.0645
"2690","WBGene00135142",0,0.0604038103448411,0,0,0,"Cjp-unc-77.2","CJA15938","Ion_trans domain-containing protein","Ion transport domain, Voltage-dependent channel domain superfamily, Sodium leak channel NALCN",NA,NA,NA,NA,NA,NA,NA,NA
"2691","WBGene00135146",0,0,0,0,0,"Cjp-col-110","CJA15942","Col_cuticle_N domain-containing protein","Nematode cuticle collagen, N-terminal, Collagen triple helix repeat","col-110 | WBGene00000684",77.3026,"Cbr-col-110 | WBGene00024907",77.6316,"Cbn-col-110.2 | WBGene00151466",77.6316,"Cre-col-110 | WBGene00062821",78.2895
"2692","WBGene00135149",0,0,0,0,0,"CJA15945","CJA15945","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","EGF-type aspartate/asparagine hydroxylation site, Coagulation factor 5/8 C-terminal domain, Sushi/SCR/CCP domain, EGF-like domain, CUB domain, EGF-like calcium-binding domain, HYR domain, Galactose-binding-like domain superfamily, Growth factor receptor cysteine-rich domain superfamily, Tyrosine-protein kinase ephrin type A/B receptor-like, EGF-like calcium-binding, conserved site, Spermadhesin, CUB domain superfamily, Sushi/SCR/CCP superfamily","clec-78 | WBGene00018547",82.2994,"Cbr-clec-78 | WBGene00027820",81.7302,"Cbn-clec-78.3 | WBGene00160194",78.7706,"Cre-clec-78.2 | WBGene00069674",82.2425
"2693","WBGene00135160",0,0.0604038103448411,0,0,0,"CJA15956","CJA15956","Ras-related protein Rab","Small GTPase, Small GTP-binding protein domain, P-loop containing nucleoside triphosphate hydrolase","4R79.2 | WBGene00007067",87.0968,"CBG00431 | WBGene00023820",87.0968,"CBN28112 | WBGene00190077",85.8871,"CRE28753 | WBGene00069567",85.4839
"2694","WBGene00135163",0,0.181211431034523,0,0.122046050782019,0,"Cjp-srh-39","CJA15959","Serpentine receptor class gamma","7TM GPCR, serpentine receptor class h (Srh)","srh-39 | WBGene00005262",67.1141,"Cbr-srh-39 | WBGene00033817",69.4631,"Cbn-srh-39 | WBGene00149888",52.0134,"Cre-srh-39.1 | WBGene00065159",58.3893
"2695","WBGene00135194",0,0,0,0,0,"CJA15990","CJA15990","Integrin_alpha2 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2696","WBGene00135195",0.257132816106388,0.120807620689682,0,0,0.122825316361167,"CJA15991","CJA15991","HTH_Tnp_Tc3_2 domain-containing protein","Transposase, Tc1-like, Homeobox-like domain superfamily, Ribonuclease H superfamily",NA,NA,NA,NA,NA,NA,NA,NA
"2697","WBGene00135198",0,0,0,0,0,"Cjp-sulp-6","CJA15994","Sulfate_transp domain-containing protein","SLC26A/SulP transporter, SLC26A/SulP transporter domain","sulp-6 | WBGene00020914",60.8169,"Cbr-sulp-6 | WBGene00035342",60.9682,"CBN01756 | WBGene00140481",6.50529,"Cre-sulp-6 | WBGene00056419",59.0015
"2698","WBGene00135205",0,0.0604038103448411,0,0,0,"CJA16001","CJA16001","MCM6_C domain-containing protein","Mcm6, C-terminal winged-helix domain",NA,NA,NA,NA,NA,NA,NA,NA
"2699","WBGene00135211",0,0,0,0,0,"CJA16007","CJA16007","Recep_L_domain domain-containing protein","Receptor-type tyrosine-protein phosphatase-like N/N2",NA,NA,NA,NA,NA,NA,NA,NA
"2700","WBGene00135216",0,0,0,0.122046050782019,0,"CJA16012","CJA16012","MyTH4 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2701","WBGene00135219",0,0,0,0,0,"CJA16015","CJA16015","AAA_12 domain-containing protein","P-loop containing nucleoside triphosphate hydrolase, DNA2/NAM7 helicase-like, C-terminal",NA,NA,NA,NA,NA,NA,NA,NA
"2702","WBGene00135222",0,0,0,0,0,"CJA16018","CJA16018","PARP-type domain-containing protein","Zinc finger, PARP-type, Aprataxin and PNK-like factor, PBZ domain, DNA ligase, ATP-dependent, N-terminal domain superfamily, Zinc finger, PARP-type superfamily","K07C5.3 | WBGene00010626",61.9953,"CBG13063 | WBGene00033892",56.7696,"CBN12656 | WBGene00151381",61.0451,"CRE26180 | WBGene00054257",61.7577
"2703","WBGene00135225",0,0,0,0,0,"Cjp-twk-42","CJA16021","Ion_trans_2 domain-containing protein","Two pore domain potassium channel, Potassium channel domain","twk-42 | WBGene00006692",82.5737,"Cbr-twk-42 | WBGene00042700",83.6461,"Cbn-twk-42 | WBGene00164764",84.4504,"Cre-twk-42 | WBGene00065984",83.378
"2704","WBGene00135237",0,0,0,0,0,"Cjp-hsp-12.6.2","CJA16033","SHSP domain-containing protein","Alpha crystallin/Small heat shock protein, animal type, Alpha crystallin/Hsp20 domain, HSP20-like chaperone","hsp-12.6 | WBGene00002013",82.7273,"Cbr-hsp-12.6 | WBGene00040366",84.5455,"Cbn-hsp-12.6.1 | WBGene00139060",87.2727,"Cre-hsp-12.6 | WBGene00070253",83.6364
"2705","WBGene00135238",0.321416020132985,0.120807620689682,0,0.122046050782019,0,"CJA16034","CJA16034","EF-hand_14 domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2706","WBGene00135243",0,0,0,0,0,"CJA16039","CJA16039","LAM_G_DOMAIN domain-containing protein","Laminin G domain, Concanavalin A-like lectin/glucanase domain superfamily","agr-1 | WBGene00018304",51.7375,"Cbr-agr-1 | WBGene00032318",52.5097,"CBN28773 | WBGene00190738",43.2432,"CRE26223 | WBGene00084774",46.332
"2707","WBGene00135258",0,0.120807620689682,0.0609681411588056,0,0,"CJA16054","CJA16054","G_PROTEIN_RECEP_F1_2 domain-containing protein","7TM GPCR, serpentine receptor class w (Srw)","dmsr-9 | WBGene00022606",51.4851,"Cbr-dmsr-11 | WBGene00038309",48.5149,"CBN18705 | WBGene00157430",56.4356,"CRE27274 | WBGene00052236",51.4851
"2708","WBGene00135261",0,0,0,0,0,"Cjp-trk-1","CJA16057","Protein kinase domain-containing protein","Protein kinase domain, Serine-threonine/tyrosine-protein kinase, catalytic domain, Tyrosine-protein kinase, active site, Protein kinase-like domain superfamily, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, Leucine-rich repeat domain superfamily","trk-1 | WBGene00017039",53.6791,"Cbr-trk-1 | WBGene00023671",55.6092,"Cbn-trk-1 | WBGene00155995",54.041,"Cre-trk-1 | WBGene00051063",54.8854
"2709","WBGene00135273",0,0,0,0,0,"CJA16069","CJA16069","BZIP domain-containing protein","",NA,NA,NA,NA,NA,NA,NA,NA
"2710","WBGene00135274",0,0.241615241379364,0,0,0,"CJA16070","CJA16070","DDE_3 domain-containing protein","Ribonuclease H superfamily, Tc1-like transposase, DDE domain",NA,NA,NA,NA,NA,NA,NA,NA
"2711","WBGene00135278",0,0.0604038103448411,0,0,0,"Cjp-art-1","CJA16074","very-long-chain enoyl-CoA reductase","Ubiquitin-like domain, 3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal, Ubiquitin-like domain superfamily, 3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase","art-1 | WBGene00000198",79.056,"Cbr-art-1 | WBGene00032359",79.351,"CBN29552 | WBGene00191517",46.6077,"Cre-art-1 | WBGene00054224",81.1209
"2712","WBGene00135283",0.192849612079791,0,0,0.122046050782019,0.0614126581805837,"Cjp-mrt-2","CJA16079","Cell cycle checkpoint protein RAD1","Rad1/Rec1/Rad17, DNA clamp superfamily","mrt-2 | WBGene00003417",61.5094,"Cbr-mrt-2 | WBGene00034017",68.3019,"Cbn-mrt-2 | WBGene00155087",68.3019,"Cre-mrt-2 | WBGene00063076",70.9434
"2713","WBGene00135302",0,0.120807620689682,0,0,0,"CJA16098","CJA16098","Serpentine receptor class gamma","7TM GPCR, serpentine receptor class g (Srg)",NA,NA,NA,NA,NA,NA,NA,NA
"2714","WBGene00135305",0,0,0,0,0,"Cjp-cut-5","CJA16101","ZP domain-containing protein","Zona pellucida domain","cut-5 | WBGene00011104",86.8421,"Cbr-cut-5 | WBGene00036918",84.2105,"Cbn-cut-5 | WBGene00164122",86.5132,"Cre-cut-5 | WBGene00058483",85.1974
